Frame 0, Person 0:
Frame 9, Person 1:
  Keypoint 0: (x=302.46, y=483.65, confidence=1.00)
  Keypoint 1: (x=304.37, y=571.91, confidence=1.00)
  Keypoint 2: (x=262.74, y=540.01, confidence=1.00)
  Keypoint 3: (x=347.28, y=533.32, confidence=1.00)
  Keypoint 4: (x=243.20, y=543.54, confidence=1.00)
  Keypoint 5: (x=237.47, y=488.57, confidence=1.00)
  Keypoint 6: (x=303.47, y=455.08, confidence=1.00)
  Keypoint 7: (x=388.02, y=550.74, confidence=1.00)
  Keypoint 8: (x=431.68, y=499.15, confidence=1.00)
  Keypoint 9: (x=373.10, y=477.85, confidence=0.99)
Frame 9, Person 2:
  Keypoint 0: (x=1068.79, y=459.00, confidence=1.00)
  Keypoint 1: (x=1061.57, y=560.74, confidence=1.00)
  Keypoint 2: (x=1023.90, y=511.19, confidence=1.00)
  Keypoint 3: (x=1109.22, y=512.66, confidence=1.00)
  Keypoint 4: (x=961.87, y=533.42, confidence=1.00)
  Keypoint 5: (x=890.91, y=525.12, confidence=1.00)
  Keypoint 6: (x=955.89, y=439.76, confidence=1.00)
  Keypoint 7: (x=1115.81, y=531.93, confidence=0.99)
  Keypoint 8: (x=1121.25, y=492.63, confidence=0.97)
  Keypoint 9: (x=1101.77, y=447.25, confidence=0.99)
Frame 10, Person 0:
  Keypoint 0: (x=667.31, y=465.32, confidence=1.00)
  Keypoint 1: (x=649.04, y=559.15, confidence=1.00)
  Keypoint 2: (x=611.16, y=511.71, confidence=1.00)
  Keypoint 3: (x=696.83, y=532.11, confidence=1.00)
  Keypoint 4: (x=580.88, y=536.74, confidence=1.00)
  Keypoint 5: (x=559.61, y=494.26, confidence=1.00)
  Keypoint 6: (x=600.88, y=419.88, confidence=1.00)
  Keypoint 7: (x=726.17, y=554.92, confidence=1.00)
  Keypoint 8: (x=793.09, y=489.50, confidence=1.00)
  Keypoint 9: (x=813.33, y=389.70, confidence=1.00)
Frame 10, Person 1:
  Keypoint 0: (x=304.03, y=484.45, confidence=1.00)
  Keypoint 1: (x=305.23, y=572.80, confidence=1.00)
  Keypoint 2: (x=264.20, y=539.01, confidence=1.00)
  Keypoint 3: (x=348.00, y=534.04, confidence=1.00)
  Keypoint 4: (x=243.74, y=542.88, confidence=1.00)
  Keypoint 5: (x=235.57, y=491.43, confidence=1.00)
  Keypoint 6: (x=297.19, y=455.15, confidence=0.99)
  Keypoint 7: (x=390.35, y=549.01, confidence=1.00)
  Keypoint 8: (x=431.60, y=498.14, confidence=1.00)
  Keypoint 9: (x=370.88, y=475.54, confidence=0.99)
Frame 10, Person 2:
  Keypoint 0: (x=1068.81, y=459.37, confidence=1.00)
  Keypoint 1: (x=1061.57, y=560.85, confidence=1.00)
  Keypoint 2: (x=1024.02, y=511.41, confidence=1.00)
  Keypoint 3: (x=1109.25, y=512.90, confidence=1.00)
  Keypoint 4: (x=961.73, y=533.54, confidence=1.00)
  Keypoint 5: (x=890.99, y=525.25, confidence=1.00)
  Keypoint 6: (x=956.07, y=439.78, confidence=1.00)
  Keypoint 7: (x=1115.69, y=532.33, confidence=0.99)
  Keypoint 8: (x=1121.41, y=493.67, confidence=0.97)
  Keypoint 9: (x=1101.79, y=447.89, confidence=0.99)
Frame 11, Person 0:
  Keypoint 0: (x=667.35, y=465.27, confidence=1.00)
  Keypoint 1: (x=649.01, y=559.14, confidence=1.00)
  Keypoint 2: (x=611.13, y=511.65, confidence=1.00)
  Keypoint 3: (x=696.81, y=532.11, confidence=1.00)
  Keypoint 4: (x=580.86, y=536.64, confidence=1.00)
  Keypoint 5: (x=559.58, y=494.19, confidence=1.00)
  Keypoint 6: (x=600.89, y=419.85, confidence=1.00)
  Keypoint 7: (x=726.20, y=554.84, confidence=1.00)
  Keypoint 8: (x=793.10, y=489.43, confidence=1.00)
  Keypoint 9: (x=813.35, y=389.65, confidence=1.00)
Frame 11, Person 1:
  Keypoint 0: (x=304.02, y=484.44, confidence=1.00)
  Keypoint 1: (x=305.22, y=572.81, confidence=1.00)
  Keypoint 2: (x=264.20, y=539.03, confidence=1.00)
  Keypoint 3: (x=347.99, y=534.03, confidence=1.00)
  Keypoint 4: (x=243.72, y=542.79, confidence=1.00)
  Keypoint 5: (x=235.57, y=491.39, confidence=1.00)
  Keypoint 6: (x=297.34, y=455.25, confidence=0.99)
  Keypoint 7: (x=390.37, y=548.98, confidence=1.00)
  Keypoint 8: (x=431.61, y=498.18, confidence=1.00)
  Keypoint 9: (x=370.93, y=475.53, confidence=0.99)
Frame 11, Person 2:
  Keypoint 0: (x=1068.81, y=459.36, confidence=1.00)
  Keypoint 1: (x=1061.62, y=560.86, confidence=1.00)
  Keypoint 2: (x=1024.02, y=511.46, confidence=1.00)
  Keypoint 3: (x=1109.27, y=512.91, confidence=1.00)
  Keypoint 4: (x=961.75, y=533.57, confidence=1.00)
  Keypoint 5: (x=891.02, y=525.30, confidence=1.00)
