Frame 0, Person 0:
  Keypoint 6: (x=436.63, y=389.73, confidence=1.00)
  Keypoint 7: (x=708.18, y=360.73, confidence=0.99)
  Keypoint 8: (x=677.18, y=275.17, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 5, Person 3:
  Keypoint 0: (x=1231.32, y=242.87, confidence=0.98)
  Keypoint 1: (x=1185.00, y=282.49, confidence=0.98)
  Keypoint 2: (x=1262.58, y=293.77, confidence=0.97)
  Keypoint 3: (x=1222.08, y=326.89, confidence=0.96)
  Keypoint 4: (x=1250.85, y=339.70, confidence=0.97)
  Keypoint 5: (x=1127.80, y=322.79, confidence=0.96)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.09)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 6, Person 0:
  Keypoint 0: (x=178.12, y=273.47, confidence=1.00)
  Keypoint 1: (x=150.77, y=333.88, confidence=1.00)
  Keypoint 2: (x=225.39, y=319.55, confidence=1.00)
  Keypoint 3: (x=192.38, y=370.52, confidence=1.00)
  Keypoint 4: (x=266.58, y=377.46, confidence=1.00)
  Keypoint 5: (x=145.07, y=381.81, confidence=1.00)
  Keypoint 6: (x=113.47, y=471.47, confidence=1.00)
  Keypoint 7: (x=333.96, y=428.47, confidence=0.99)
  Keypoint 8: (x=330.47, y=311.60, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.02)
Frame 6, Person 1:
  Keypoint 0: (x=884.39, y=265.35, confidence=1.00)
  Keypoint 1: (x=843.76, y=320.19, confidence=1.00)
  Keypoint 2: (x=925.43, y=324.81, confidence=1.00)
  Keypoint 3: (x=882.52, y=360.70, confidence=1.00)
  Keypoint 4: (x=928.60, y=365.37, confidence=0.99)
  Keypoint 5: (x=811.70, y=362.06, confidence=1.00)
  Keypoint 6: (x=767.22, y=370.41, confidence=0.98)
  Keypoint 7: (x=959.77, y=391.78, confidence=0.98)
  Keypoint 8: (x=963.80, y=304.68, confidence=0.98)
  Keypoint 9: (x=821.52, y=313.28, confidence=1.00)
Frame 6, Person 2:
  Keypoint 0: (x=589.37, y=274.00, confidence=1.00)
  Keypoint 1: (x=555.90, y=332.08, confidence=1.00)
  Keypoint 2: (x=635.63, y=319.69, confidence=1.00)
  Keypoint 3: (x=593.34, y=372.41, confidence=1.00)
  Keypoint 4: (x=654.77, y=381.43, confidence=1.00)
  Keypoint 5: (x=514.99, y=381.61, confidence=1.00)
  Keypoint 6: (x=436.64, y=389.70, confidence=1.00)
  Keypoint 7: (x=708.13, y=360.74, confidence=0.99)
  Keypoint 8: (x=677.22, y=275.31, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 6, Person 3:
  Keypoint 0: (x=1231.31, y=242.86, confidence=0.98)
  Keypoint 1: (x=1184.99, y=282.47, confidence=0.98)
  Keypoint 2: (x=1262.61, y=293.75, confidence=0.97)
  Keypoint 3: (x=1222.12, y=326.89, confidence=0.96)
  Keypoint 4: (x=1250.86, y=339.69, confidence=0.97)
  Keypoint 5: (x=1127.76, y=322.78, confidence=0.96)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.09)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 7, Person 0:
  Keypoint 0: (x=177.74, y=273.33, confidence=1.00)
  Keypoint 1: (x=150.69, y=333.95, confidence=1.00)
  Keypoint 2: (x=225.32, y=319.30, confidence=1.00)
  Keypoint 3: (x=192.44, y=370.49, confidence=1.00)
  Keypoint 4: (x=266.71, y=377.46, confidence=1.00)
  Keypoint 5: (x=144.95, y=381.89, confidence=1.00)
  Keypoint 6: (x=113.42, y=471.51, confidence=1.00)
  Keypoint 7: (x=333.99, y=428.55, confidence=0.99)
  Keypoint 8: (x=330.59, y=311.58, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.02)
Frame 7, Person 1:
  Keypoint 0: (x=884.32, y=265.30, confidence=1.00)
  Keypoint 1: (x=843.61, y=320.17, confidence=1.00)
  Keypoint 2: (x=925.32, y=324.88, confidence=1.00)
  Keypoint 3: (x=882.48, y=360.67, confidence=1.00)
  Keypoint 4: (x=928.58, y=365.36, confidence=0.99)
  Keypoint 5: (x=811.49, y=362.18, confidence=1.00)
  Keypoint 6: (x=767.25, y=370.32, confidence=0.98)
  Keypoint 7: (x=959.91, y=391.60, confidence=0.98)
  Keypoint 8: (x=963.85, y=304.52, confidence=0.98)
  Keypoint 9: (x=821.62, y=312.98, confidence=1.00)
Frame 7, Person 2:
  Keypoint 0: (x=589.34, y=274.13, confidence=1.00)
  Keypoint 1: (x=556.02, y=332.34, confidence=1.00)
  Keypoint 2: (x=635.77, y=319.82, confidence=1.00)
  Keypoint 3: (x=593.38, y=372.38, confidence=1.00)
  Keypoint 4: (x=654.75, y=381.45, confidence=1.00)
  Keypoint 5: (x=514.83, y=381.76, confidence=1.00)
  Keypoint 6: (x=436.58, y=389.52, confidence=1.00)
  Keypoint 7: (x=708.10, y=360.91, confidence=0.99)
  Keypoint 8: (x=677.40, y=275.66, confidence=0.98)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 7, Person 3:
  Keypoint 0: (x=1231.21, y=242.74, confidence=0.98)
  Keypoint 1: (x=1184.94, y=282.59, confidence=0.99)
  Keypoint 2: (x=1262.50, y=293.91, confidence=0.97)
  Keypoint 3: (x=1221.80, y=326.86, confidence=0.96)
  Keypoint 4: (x=1250.70, y=339.85, confidence=0.97)
  Keypoint 5: (x=1127.80, y=322.73, confidence=0.97)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.09)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 8, Person 0:
  Keypoint 0: (x=177.56, y=273.41, confidence=1.00)
  Keypoint 1: (x=150.56, y=333.97, confidence=1.00)
  Keypoint 2: (x=225.22, y=319.29, confidence=1.00)
  Keypoint 3: (x=192.30, y=370.49, confidence=1.00)
  Keypoint 4: (x=266.58, y=377.17, confidence=1.00)
  Keypoint 5: (x=144.86, y=381.59, confidence=1.00)
  Keypoint 6: (x=113.34, y=471.44, confidence=1.00)
  Keypoint 7: (x=333.87, y=428.46, confidence=0.99)
  Keypoint 8: (x=330.66, y=311.65, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.02)
Frame 8, Person 1:
  Keypoint 0: (x=884.37, y=265.42, confidence=1.00)
  Keypoint 1: (x=843.69, y=320.13, confidence=1.00)
  Keypoint 2: (x=925.67, y=324.66, confidence=1.00)
  Keypoint 3: (x=882.80, y=360.81, confidence=1.00)
  Keypoint 4: (x=928.81, y=365.31, confidence=0.99)
  Keypoint 5: (x=811.56, y=362.31, confidence=1.00)
  Keypoint 6: (x=767.31, y=370.02, confidence=0.98)
  Keypoint 7: (x=959.91, y=391.38, confidence=0.98)
  Keypoint 8: (x=964.11, y=304.37, confidence=0.98)
  Keypoint 9: (x=821.99, y=313.11, confidence=1.00)
Frame 8, Person 2:
  Keypoint 0: (x=589.24, y=274.07, confidence=1.00)
  Keypoint 1: (x=555.99, y=332.34, confidence=1.00)
  Keypoint 2: (x=635.85, y=319.70, confidence=1.00)
  Keypoint 3: (x=593.46, y=372.48, confidence=1.00)
  Keypoint 4: (x=654.96, y=381.52, confidence=1.00)
  Keypoint 5: (x=514.89, y=382.14, confidence=1.00)
  Keypoint 6: (x=436.70, y=389.45, confidence=1.00)
  Keypoint 7: (x=708.29, y=360.78, confidence=0.99)
  Keypoint 8: (x=677.72, y=275.56, confidence=0.98)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 8, Person 3:
  Keypoint 0: (x=1231.29, y=242.60, confidence=0.98)
  Keypoint 1: (x=1184.91, y=282.31, confidence=0.98)
  Keypoint 2: (x=1262.58, y=293.72, confidence=0.97)
  Keypoint 3: (x=1221.75, y=326.99, confidence=0.96)
  Keypoint 4: (x=1250.65, y=340.01, confidence=0.97)
