Frame,Person1_head,Person1_neck,Person1_left_ear,Person1_right_ear,Person1_left_shoulder,Person1_left_elbow,Person1_left_hand,Person1_right_shoulder,Person1_right_elbow,Person1_right_hand,Person2_head,Person2_neck,Person2_left_ear,Person2_right_ear,Person2_left_shoulder,Person2_left_elbow,Person2_left_hand,Person2_right_shoulder,Person2_right_elbow,Person2_right_hand,Person3_head,Person3_neck,Person3_left_ear,Person3_right_ear,Person3_left_shoulder,Person3_left_elbow,Person3_left_hand,Person3_right_shoulder,Person3_right_elbow,Person3_right_hand,Person4_head,Person4_neck,Person4_left_ear,Person4_right_ear,Person4_left_shoulder,Person4_left_elbow,Person4_left_hand,Person4_right_shoulder,Person4_right_elbow,Person4_right_hand
802,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(963.51,352.57,1.00)","(962.50,406.46,1.00)","(921.23,371.68,1.00)","(989.88,349.23,0.99)","(871.26,424.89,1.00)","(838.44,402.24,0.97)","(874.67,349.67,0.89)","(998.03,386.38,0.95)","(0.00,0.00,0.02)","(0.00,0.00,0.01)","(1226.84,314.73,1.00)","(1219.21,372.39,1.00)","(1185.93,335.29,1.00)","(1249.56,330.44,1.00)","(1146.11,363.78,1.00)","(1109.25,337.57,1.00)","(1155.50,298.15,1.00)","(1259.00,356.73,0.95)","(1255.70,315.99,0.75)","(1247.06,264.37,0.98)"
803,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(966.32,351.86,0.99)","(960.51,404.57,1.00)","(924.45,371.40,1.00)","(986.92,348.97,0.99)","(885.82,425.95,1.00)","(857.39,412.86,0.99)","(879.26,353.26,0.98)","(1000.45,384.99,0.94)","(0.00,0.00,0.03)","(0.00,0.00,0.00)","(1226.53,312.90,1.00)","(1217.80,372.91,1.00)","(1184.58,333.80,1.00)","(1250.83,330.33,1.00)","(1150.19,361.60,1.00)","(1110.02,338.25,1.00)","(1152.32,295.18,1.00)","(1259.36,353.64,0.95)","(1256.88,315.24,0.81)","(1246.86,262.49,0.99)"
804,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(963.82,350.79,1.00)","(961.76,407.85,1.00)","(921.77,371.04,1.00)","(990.44,349.83,0.99)","(883.70,422.09,1.00)","(858.60,410.21,0.97)","(878.48,352.70,0.92)","(1000.45,384.32,0.92)","(0.00,0.00,0.01)","(0.00,0.00,0.00)","(1226.81,313.60,1.00)","(1218.13,373.27,1.00)","(1184.70,334.07,1.00)","(1251.01,330.26,1.00)","(1150.35,362.02,1.00)","(1109.85,338.06,1.00)","(1152.12,294.70,1.00)","(1259.33,353.94,0.96)","(1256.76,315.39,0.82)","(1246.56,262.25,0.99)"
805,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(966.16,351.74,0.99)","(960.45,404.65,1.00)","(924.32,371.10,1.00)","(987.07,349.33,0.99)","(885.88,425.75,1.00)","(857.81,412.09,0.99)","(879.18,353.16,0.98)","(1000.35,384.76,0.94)","(0.00,0.00,0.03)","(0.00,0.00,0.00)","(1226.54,312.83,1.00)","(1217.92,372.75,1.00)","(1184.70,333.93,1.00)","(1250.85,330.10,1.00)","(1150.72,361.53,1.00)","(1110.27,338.45,1.00)","(1152.25,295.27,1.00)","(1259.36,353.15,0.95)","(1256.93,314.97,0.81)","(1246.78,262.41,0.99)"
806,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(964.99,349.23,1.00)","(965.16,408.26,1.00)","(922.76,371.52,1.00)","(992.57,349.73,0.99)","(880.50,423.58,1.00)","(856.27,406.33,0.94)","(878.74,348.06,0.85)","(1000.81,382.45,0.88)","(0.00,0.00,0.00)","(0.00,0.00,0.00)","(1226.13,314.71,1.00)","(1217.99,371.77,1.00)","(1184.98,334.52,1.00)","(1249.12,330.38,1.00)","(1143.36,363.29,1.00)","(1108.20,336.68,1.00)","(1154.81,297.56,1.00)","(1258.71,357.76,0.97)","(1256.56,317.32,0.85)","(1249.06,264.77,0.99)"
807,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(965.42,348.97,1.00)","(964.76,408.37,1.00)","(922.83,370.81,1.00)","(992.78,349.85,0.99)","(880.65,424.02,1.00)","(855.65,405.99,0.94)","(878.57,348.11,0.86)","(1001.01,382.30,0.88)","(0.00,0.00,0.00)","(0.00,0.00,0.00)","(1225.81,313.82,1.00)","(1217.53,371.62,1.00)","(1185.14,334.79,1.00)","(1248.87,330.03,1.00)","(1144.44,362.86,1.00)","(1109.09,337.00,1.00)","(1154.80,297.45,1.00)","(1258.52,357.06,0.97)","(1256.66,317.30,0.85)","(1249.22,264.71,0.99)"
808,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(964.98,348.96,1.00)","(964.96,408.30,1.00)","(922.80,371.27,1.00)","(992.68,349.70,0.99)","(880.33,423.75,1.00)","(855.58,405.85,0.95)","(878.81,347.86,0.88)","(1000.74,382.78,0.88)","(0.00,0.00,0.00)","(0.00,0.00,0.00)","(1226.08,314.86,1.00)","(1217.65,371.89,1.00)","(1184.92,334.65,1.00)","(1248.97,330.37,1.00)","(1143.09,363.54,1.00)","(1108.42,336.84,1.00)","(1154.72,297.59,1.00)","(1258.51,358.09,0.97)","(1256.52,317.42,0.86)","(1249.21,264.96,0.99)"
809,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(966.72,351.82,1.00)","(965.65,408.38,1.00)","(925.22,373.55,1.00)","(992.12,349.95,0.99)","(890.69,425.46,1.00)","(865.74,404.42,0.97)","(882.89,345.04,0.95)","(1000.84,380.30,0.80)","(0.00,0.00,0.01)","(0.00,0.00,0.01)","(1224.86,313.23,1.00)","(1217.83,370.78,1.00)","(1184.92,334.09,1.00)","(1248.27,329.44,1.00)","(1144.34,362.73,1.00)","(1108.75,337.19,1.00)","(1154.95,297.68,1.00)","(1258.45,356.13,0.96)","(1256.11,315.96,0.84)","(1248.35,264.60,0.99)"
810,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(966.46,352.27,1.00)","(966.00,408.61,1.00)","(925.19,374.28,1.00)","(992.07,349.59,0.99)","(890.22,425.79,1.00)","(864.79,403.81,0.97)","(882.97,343.97,0.96)","(1000.39,380.41,0.78)","(0.00,0.00,0.00)","(0.00,0.00,0.01)","(1225.02,313.46,1.00)","(1217.71,370.97,1.00)","(1184.80,334.05,1.00)","(1248.42,329.46,1.00)","(1143.91,362.93,1.00)","(1108.33,337.02,1.00)","(1154.94,297.54,1.00)","(1258.42,356.39,0.96)","(1256.00,315.91,0.84)","(1248.02,264.58,0.99)"
811,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(966.89,352.53,1.00)","(965.95,408.42,1.00)","(925.54,374.14,1.00)","(992.13,349.93,0.99)","(891.36,425.77,1.00)","(866.19,403.97,0.98)","(883.46,344.75,0.97)","(1000.47,380.33,0.79)","(0.00,0.00,0.01)","(0.00,0.00,0.01)","(1224.80,312.91,1.00)","(1217.86,370.93,1.00)","(1184.86,334.19,1.00)","(1248.36,329.33,1.00)","(1144.85,362.67,1.00)","(1108.88,337.02,1.00)","(1154.91,297.25,1.00)","(1258.55,355.85,0.96)","(1256.20,315.81,0.84)","(1247.90,264.63,0.99)"
812,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(969.33,352.89,1.00)","(967.75,407.54,1.00)","(927.37,373.97,1.00)","(993.37,349.45,0.99)","(892.01,425.65,1.00)","(863.47,404.99,0.98)","(880.15,347.03,0.97)","(1002.29,379.87,0.84)","(0.00,0.00,0.01)","(0.00,0.00,0.01)","(1226.69,313.67,1.00)","(1220.32,370.83,1.00)","(1184.15,333.99,1.00)","(1250.41,328.40,1.00)","(1145.79,364.52,1.00)","(1106.90,340.30,1.00)","(1151.59,303.68,0.97)","(1257.49,353.63,0.98)","(1253.83,315.80,0.94)","(1242.42,259.52,1.00)"
813,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(969.58,353.05,1.00)","(967.77,407.26,1.00)","(927.17,374.28,1.00)","(992.97,348.92,0.99)","(893.60,426.66,1.00)","(863.76,405.97,0.98)","(880.24,346.94,0.98)","(1001.92,378.85,0.82)","(0.00,0.00,0.01)","(0.00,0.00,0.01)","(1226.46,313.70,1.00)","(1220.66,370.73,1.00)","(1184.05,334.36,1.00)","(1250.42,328.21,1.00)","(1146.43,364.72,1.00)","(1107.27,340.94,1.00)","(1151.09,303.91,0.97)","(1257.45,352.81,0.98)","(1253.66,315.24,0.93)","(1242.01,259.38,1.00)"
814,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(969.30,353.13,1.00)","(967.60,407.59,1.00)","(927.27,374.00,1.00)","(993.29,349.57,0.99)","(892.00,425.63,1.00)","(863.83,404.95,0.98)","(880.30,347.24,0.98)","(1002.31,380.04,0.85)","(0.00,0.00,0.01)","(0.00,0.00,0.01)","(1226.66,313.48,1.00)","(1220.18,370.77,1.00)","(1184.09,333.81,1.00)","(1250.36,328.37,1.00)","(1145.62,364.34,1.00)","(1106.71,340.27,1.00)","(1151.43,303.55,0.97)","(1257.36,353.53,0.98)","(1253.70,315.71,0.94)","(1242.33,259.51,1.00)"
815,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(730.57,524.36,0.99)","(765.38,591.99,0.99)","(696.99,575.08,1.00)","(776.03,512.71,0.96)","(691.39,633.33,1.00)","(637.08,580.17,1.00)","(610.93,480.59,1.00)","(0.00,0.00,0.31)","(0.00,0.00,0.00)","(0.00,0.00,0.03)","(972.93,359.81,1.00)","(973.17,409.14,1.00)","(929.67,381.05,1.00)","(993.50,351.61,0.98)","(892.98,425.88,1.00)","(865.37,406.35,0.96)","(884.23,350.86,0.97)","(1002.85,379.76,0.63)","(0.00,0.00,0.01)","(0.00,0.00,0.02)","(1224.98,313.22,1.00)","(1219.56,369.13,1.00)","(1183.60,333.03,1.00)","(1248.73,327.92,1.00)","(1145.67,363.49,1.00)","(1107.00,340.82,1.00)","(1151.41,304.88,0.94)","(1256.23,352.59,0.99)","(1253.75,315.28,0.97)","(1242.27,259.62,1.00)"
816,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(730.85,524.63,0.99)","(765.23,592.23,0.99)","(696.98,574.96,1.00)","(776.37,512.93,0.96)","(691.42,633.37,1.00)","(637.19,580.27,1.00)","(610.84,480.57,1.00)","(0.00,0.00,0.31)","(0.00,0.00,0.00)","(0.00,0.00,0.03)","(972.47,359.61,1.00)","(972.56,409.77,1.00)","(929.92,380.67,1.00)","(993.62,352.37,0.98)","(893.48,425.70,1.00)","(865.46,405.53,0.97)","(884.56,350.92,0.98)","(1002.60,381.04,0.65)","(0.00,0.00,0.01)","(0.00,0.00,0.02)","(1225.01,313.49,1.00)","(1219.29,369.00,1.00)","(1183.59,333.00,1.00)","(1248.61,327.89,1.00)","(1145.36,363.44,1.00)","(1107.22,340.54,1.00)","(1151.88,304.73,0.94)","(1256.12,352.77,0.99)","(1253.61,315.41,0.97)","(1242.22,259.59,1.00)"
817,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(731.19,524.69,1.00)","(765.63,592.62,0.99)","(697.14,575.07,1.00)","(776.88,513.18,0.96)","(691.37,633.46,1.00)","(637.09,580.24,1.00)","(610.92,480.62,1.00)","(0.00,0.00,0.32)","(0.00,0.00,0.00)","(0.00,0.00,0.03)","(972.71,359.77,1.00)","(972.68,409.51,1.00)","(929.53,380.76,1.00)","(993.62,351.91,0.98)","(892.81,425.92,1.00)","(865.17,406.12,0.96)","(884.51,351.20,0.97)","(1003.01,380.35,0.64)","(0.00,0.00,0.01)","(0.00,0.00,0.02)","(1224.97,313.34,1.00)","(1219.48,369.11,1.00)","(1183.65,333.15,1.00)","(1248.71,327.99,1.00)","(1145.82,363.49,1.00)","(1107.07,340.65,1.00)","(1151.48,304.64,0.94)","(1256.27,352.51,0.99)","(1253.77,315.26,0.97)","(1242.19,259.58,1.00)"
818,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(979.26,364.00,1.00)","(979.52,407.11,0.99)","(932.42,387.03,1.00)","(994.31,347.04,0.98)","(899.37,427.98,0.99)","(866.89,410.51,0.97)","(885.24,350.66,0.99)","(0.00,0.00,0.44)","(0.00,0.00,0.01)","(0.00,0.00,0.05)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1224.63,312.31,1.00)","(1218.41,369.32,1.00)","(1183.28,331.94,1.00)","(1248.93,327.99,1.00)","(1145.16,364.04,1.00)","(1105.60,340.72,1.00)","(1150.58,304.21,0.93)","(1255.58,354.26,0.99)","(1253.64,317.32,0.98)","(1242.26,259.60,1.00)"
819,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(979.31,363.63,1.00)","(979.94,406.65,0.99)","(932.32,386.96,1.00)","(994.33,346.22,0.98)","(899.45,428.27,0.99)","(866.78,411.01,0.96)","(885.05,350.54,0.99)","(0.00,0.00,0.42)","(0.00,0.00,0.01)","(0.00,0.00,0.05)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1224.55,312.23,1.00)","(1218.71,368.98,1.00)","(1183.27,332.15,1.00)","(1249.02,327.73,1.00)","(1146.00,363.54,1.00)","(1105.71,340.31,1.00)","(1150.24,303.73,0.93)","(1255.81,353.01,0.99)","(1253.77,316.84,0.97)","(1242.05,259.63,1.00)"
820,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(979.28,363.82,1.00)","(979.54,406.90,0.99)","(932.48,387.17,1.00)","(994.07,346.61,0.98)","(899.82,428.17,0.99)","(866.79,410.54,0.97)","(885.28,350.36,0.99)","(0.00,0.00,0.43)","(0.00,0.00,0.01)","(0.00,0.00,0.06)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1224.65,312.35,1.00)","(1218.37,369.25,1.00)","(1183.25,331.92,1.00)","(1248.91,327.87,1.00)","(1145.10,364.13,1.00)","(1105.62,340.72,1.00)","(1150.66,304.26,0.93)","(1255.58,354.21,0.99)","(1253.61,317.20,0.98)","(1242.24,259.57,1.00)"
821,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(676.04,546.86,1.00)","(727.70,618.02,0.99)","(655.40,616.95,1.00)","(713.12,511.66,0.95)","(645.82,680.59,0.99)","(595.20,655.51,0.95)","(588.48,556.84,0.98)","(0.00,0.00,0.19)","(0.00,0.00,0.00)","(0.00,0.00,0.02)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1223.58,313.33,1.00)","(1216.02,367.88,1.00)","(1183.82,331.10,1.00)","(1245.99,329.15,1.00)","(1142.93,361.40,1.00)","(1105.66,334.46,1.00)","(1154.61,297.27,0.99)","(1254.91,354.76,0.98)","(1254.82,317.02,0.94)","(1247.83,263.20,0.99)"
822,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(675.98,546.50,1.00)","(727.34,618.39,0.99)","(655.38,616.62,1.00)","(713.16,511.88,0.96)","(645.57,681.26,0.99)","(595.14,656.13,0.95)","(588.53,557.35,0.97)","(0.00,0.00,0.20)","(0.00,0.00,0.00)","(0.00,0.00,0.02)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1223.53,313.25,1.00)","(1216.05,367.81,1.00)","(1184.07,331.01,1.00)","(1245.88,328.94,1.00)","(1142.99,361.29,1.00)","(1105.48,334.83,1.00)","(1154.47,297.43,1.00)","(1254.76,354.85,0.98)","(1254.78,317.05,0.94)","(1247.49,263.27,0.99)"
823,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(674.57,547.61,1.00)","(726.78,617.56,0.99)","(653.32,617.49,1.00)","(712.03,511.76,0.96)","(645.17,681.16,0.99)","(594.61,654.53,0.94)","(588.56,554.83,0.96)","(0.00,0.00,0.20)","(0.00,0.00,0.00)","(0.00,0.00,0.02)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1223.97,314.37,1.00)","(1216.66,367.63,1.00)","(1184.09,331.24,1.00)","(1246.39,328.68,1.00)","(1143.76,361.51,1.00)","(1105.89,334.45,1.00)","(1153.88,296.98,1.00)","(1255.14,354.73,0.98)","(1254.74,316.48,0.94)","(1246.87,262.70,1.00)"
824,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(981.36,362.37,1.00)","(981.88,405.38,0.99)","(936.93,389.08,1.00)","(992.55,344.37,0.97)","(897.70,429.97,1.00)","(864.01,412.75,0.97)","(882.48,350.73,0.99)","(0.00,0.00,0.34)","(0.00,0.00,0.00)","(0.00,0.00,0.09)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1223.26,311.40,1.00)","(1214.11,369.35,1.00)","(1182.80,331.15,1.00)","(1246.60,329.39,1.00)","(1143.39,361.68,1.00)","(1107.59,335.30,1.00)","(1153.16,296.14,0.99)","(1255.48,355.63,0.98)","(1254.87,316.43,0.94)","(1246.92,263.05,0.99)"
825,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(980.49,362.18,1.00)","(980.64,406.18,0.99)","(936.68,387.97,1.00)","(992.72,345.64,0.97)","(897.71,429.86,1.00)","(864.61,412.09,0.97)","(882.42,351.39,0.99)","(0.00,0.00,0.37)","(0.00,0.00,0.00)","(0.00,0.00,0.08)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1223.05,311.61,1.00)","(1214.40,369.20,1.00)","(1182.87,331.16,1.00)","(1246.39,329.25,1.00)","(1143.49,361.80,1.00)","(1107.49,335.03,1.00)","(1153.71,296.12,0.99)","(1255.44,355.70,0.98)","(1254.95,316.29,0.94)","(1246.97,263.13,0.99)"
826,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(981.21,362.18,1.00)","(981.55,405.30,0.99)","(937.01,388.81,1.00)","(992.43,344.27,0.97)","(897.68,429.97,1.00)","(863.83,412.31,0.97)","(882.64,350.40,0.99)","(0.00,0.00,0.34)","(0.00,0.00,0.00)","(0.00,0.00,0.10)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1223.14,311.25,1.00)","(1214.11,369.58,1.00)","(1182.61,331.08,1.00)","(1246.53,329.26,1.00)","(1142.85,362.18,1.00)","(1107.34,335.21,1.00)","(1153.04,295.99,0.99)","(1255.48,356.05,0.98)","(1254.78,316.45,0.94)","(1246.87,262.91,0.99)"
827,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(979.50,360.23,1.00)","(980.81,406.37,0.99)","(937.35,386.92,1.00)","(992.71,346.61,0.97)","(897.15,429.19,1.00)","(863.06,409.34,0.97)","(882.85,351.14,0.98)","(0.00,0.00,0.34)","(0.00,0.00,0.00)","(0.00,0.00,0.11)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1223.59,312.23,1.00)","(1213.93,369.30,1.00)","(1182.75,330.23,1.00)","(1246.42,329.72,1.00)","(1140.55,362.20,1.00)","(1105.99,334.54,1.00)","(1153.09,296.00,1.00)","(1255.26,357.42,0.98)","(1254.84,317.25,0.95)","(1247.63,263.12,0.99)"
828,"(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(980.17,360.15,1.00)","(981.00,405.78,0.99)","(937.27,387.30,1.00)","(992.47,345.08,0.97)","(897.20,429.49,1.00)","(862.55,409.79,0.97)","(883.86,350.56,0.98)","(0.00,0.00,0.34)","(0.00,0.00,0.00)","(0.00,0.00,0.08)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(0,0,0.0)","(1223.81,311.89,1.00)","(1214.08,369.14,1.00)","(1183.01,330.22,1.00)","(1246.62,329.33,1.00)","(1140.78,362.27,1.00)","(1106.32,335.31,1.00)","(1153.18,296.28,1.00)","(1255.29,357.10,0.98)","(1254.61,317.08,0.96)","(1247.60,263.12,0.99)"
