Frame 0, Person 0:
  Keypoint 5: (x=114.40, y=473.06, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=270.79, y=380.88, confidence=1.00)
  Keypoint 8: (x=331.83, y=426.83, confidence=1.00)
  Keypoint 9: (x=329.65, y=310.66, confidence=1.00)
Frame 9, Person 1:
  Keypoint 0: (x=883.43, y=267.09, confidence=1.00)
  Keypoint 1: (x=884.30, y=361.36, confidence=1.00)
  Keypoint 2: (x=843.41, y=318.04, confidence=1.00)
  Keypoint 3: (x=924.28, y=321.37, confidence=1.00)
  Keypoint 4: (x=813.96, y=361.34, confidence=1.00)
  Keypoint 5: (x=767.78, y=368.76, confidence=1.00)
  Keypoint 6: (x=823.11, y=312.80, confidence=1.00)
  Keypoint 7: (x=928.39, y=368.43, confidence=1.00)
  Keypoint 8: (x=956.81, y=391.28, confidence=0.99)
  Keypoint 9: (x=962.51, y=304.28, confidence=1.00)
Frame 9, Person 2:
  Keypoint 0: (x=590.01, y=274.42, confidence=1.00)
  Keypoint 1: (x=596.29, y=374.13, confidence=1.00)
  Keypoint 2: (x=557.18, y=330.14, confidence=1.00)
  Keypoint 3: (x=634.77, y=318.67, confidence=1.00)
  Keypoint 4: (x=518.12, y=374.65, confidence=1.00)
  Keypoint 5: (x=437.35, y=394.84, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=654.52, y=380.47, confidence=1.00)
  Keypoint 8: (x=707.19, y=359.20, confidence=1.00)
  Keypoint 9: (x=673.63, y=269.82, confidence=1.00)
Frame 9, Person 3:
  Keypoint 0: (x=1227.63, y=241.66, confidence=0.99)
  Keypoint 1: (x=1222.97, y=325.29, confidence=1.00)
  Keypoint 2: (x=1182.94, y=283.74, confidence=1.00)
  Keypoint 3: (x=1262.32, y=296.37, confidence=0.99)
  Keypoint 4: (x=1132.59, y=320.32, confidence=0.99)
  Keypoint 5: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=1246.72, y=339.68, confidence=0.99)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.02)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 10, Person 0:
  Keypoint 0: (x=181.00, y=274.06, confidence=1.00)
  Keypoint 1: (x=193.51, y=372.82, confidence=1.00)
  Keypoint 2: (x=151.53, y=337.97, confidence=1.00)
  Keypoint 3: (x=228.86, y=323.04, confidence=1.00)
  Keypoint 4: (x=147.74, y=384.66, confidence=1.00)
